No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Conversion Optimization,Layout_CSS,Grid_System_Config,Bento_Layout_Map,Responsive_Strategy,Platform_Support,Mobile_Adaptation,Safe_Area_CSS,Gesture_Hints
1,Hero + Features + CTA,"hero, hero-centric, features, feature-rich, cta, call-to-action","1. Hero with headline/image, 2. Value prop, 3. Key features (3-5), 4. CTA section, 5. Footer",Hero (sticky) + Bottom,Hero: Brand primary or vibrant. Features: Card bg #FAFAFA. CTA: Contrasting accent color,"Hero parallax, feature card hover lift, CTA glow on hover",Deep CTA placement. Use contrasting color (at least 7:1 contrast ratio). Sticky navbar CTA.,".hero { min-height: 100vh; display: flex; align-items: center; } .hero-grid { display: grid; grid-template-columns: 1fr 1fr; gap: 3rem; } .features { display: grid; grid-template-columns: repeat(auto-fit, minmax(300px, 1fr)); gap: 2rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""text"",""colSpan"":6,""rowSpan"":1,""align"":""center-left""},{""id"":""visual"",""colSpan"":6,""rowSpan"":1,""align"":""center-right""}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,both,Stack layout; full-width hero; swipeable feature cards,padding-top: env(safe-area-inset-top);,swipe-horizontal on feature cards; pull-to-refresh
2,Hero + Testimonials + CTA,"hero, testimonials, social-proof, trust, reviews, cta, video testimonial, avatar, carousel, lazy load","1. Hero, 2. Problem statement, 3. Solution overview, 4. Testimonials carousel, 5. CTA",Hero (sticky) + Post-testimonials,"Hero: Brand color. Testimonials: Light bg #F5F5F5. Quotes: Italic, muted color #666. CTA: Vibrant","Testimonial carousel slide animations, quote marks animations, avatar fade-in, video testimonial play",Social proof before CTA. Use 3-5 testimonials. Include photo + name + role. CTA after social proof. Consider video testimonials for 2x engagement.,".hero { min-height: 100vh; display: flex; align-items: center; justify-content: center; } .testimonials { display: flex; gap: 2rem; overflow-x: auto; scroll-snap-type: x mandatory; } .testimonial-card { scroll-snap-align: start; flex: 0 0 350px; } /* Video Testimonial Embed */ .video-testimonial-container { position: relative; border-radius: 1rem; overflow: hidden; aspect-ratio: 16/9; max-width: 500px; } .video-testimonial-container video { width: 100%; height: 100%; object-fit: cover; } .video-testimonial-container .poster { position: absolute; inset: 0; background-size: cover; background-position: center; } .video-play-overlay { position: absolute; inset: 0; display: flex; align-items: center; justify-content: center; background: rgba(0,0,0,0.3); cursor: pointer; transition: background 0.2s ease; } .video-play-overlay:hover { background: rgba(0,0,0,0.4); } .video-play-btn { width: 72px; height: 72px; background: rgba(255,255,255,0.95); border-radius: 50%; display: flex; align-items: center; justify-content: center; box-shadow: 0 4px 20px rgba(0,0,0,0.2); transition: transform 0.2s ease; } .video-play-overlay:hover .video-play-btn { transform: scale(1.1); } .video-testimonial-info { position: absolute; bottom: 1rem; left: 1rem; right: 1rem; color: white; text-shadow: 0 1px 3px rgba(0,0,0,0.5); } .video-testimonial-info .name { font-weight: 600; } .video-testimonial-info .role { font-size: 0.875rem; opacity: 0.9; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""text"",""colSpan"":6,""rowSpan"":1,""align"":""center-left""},{""id"":""visual"",""colSpan"":6,""rowSpan"":1,""align"":""center-right""}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,both,Vertical testimonial stack; touch-friendly carousel with snap scrolling,padding-top: env(safe-area-inset-top);,swipe-horizontal on carousel; tap to play video
3,Product Demo + Features,"demo, product-demo, features, showcase, interactive","1. Hero, 2. Product video/mockup (center), 3. Feature breakdown per section, 4. Comparison (optional), 5. CTA",Video center + CTA right/bottom,Video surround: Brand color overlay. Features: Icon color #0080FF. Text: Dark #222,"Video play button pulse, feature scroll reveals, demo interaction highlights",Embedded product demo increases engagement. Use interactive mockup if possible. Auto-play video muted.,".demo-section { display: grid; grid-template-columns: 1fr 1fr; gap: 4rem; align-items: center; } .video-container { position: relative; aspect-ratio: 16/9; } .features { display: grid; grid-template-columns: repeat(2, 1fr); gap: 2rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,both,Video scales to full-width; features stack vertically; tap-to-play demo,padding-top: env(safe-area-inset-top);,tap-to-play; pinch-to-zoom on demo
4,Minimal Single Column,"minimal, simple, direct, single-column, clean","1. Hero headline, 2. Short description, 3. Benefit bullets (3 max), 4. CTA, 5. Footer","Center, large CTA button",Minimalist: Brand + white #FFFFFF + accent. Buttons: High contrast 7:1+. Text: Black/Dark grey,Minimal hover effects. Smooth scroll. CTA scale on hover (subtle),Single CTA focus. Large typography. Lots of whitespace. No nav clutter. Mobile-first.,.container { max-width: 680px; margin: 0 auto; padding: 0 1.5rem; } .hero { min-height: 100vh; display: flex; flex-direction: column; justify-content: center; text-align: center; },"{""cols"":1,""max_width"":""680px"",""center"":true}","[{""id"":""main"",""colSpan"":12,""rowSpan"":1,""align"":""center""}]",Desktop: Centered narrow column. Mobile: Full width with padding.,both,Already mobile-optimized single column; larger touch targets,padding: env(safe-area-inset-top) 16px env(safe-area-inset-bottom);,pull-to-refresh; swipe-down-dismiss
5,Funnel (3-Step Conversion),"funnel, conversion, steps, wizard, onboarding","1. Hero, 2. Step 1 (problem), 3. Step 2 (solution), 4. Step 3 (action), 5. CTA progression",Each step: mini-CTA. Final: main CTA,"Step colors: 1 (Red/Problem), 2 (Orange/Process), 3 (Green/Solution). CTA: Brand color","Step number animations, progress bar fill, step transitions smooth scroll",Progressive disclosure. Show only essential info per step. Use progress indicators. Multiple CTAs.,.funnel { display: flex; flex-direction: column; gap: 0; } .step { min-height: 100vh; display: flex; align-items: center; } .progress-bar { position: fixed; top: 0; left: 0; height: 4px; background: var(--brand); },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,both,Full-screen steps with swipe navigation; progress dots for thumb reach,padding-bottom: env(safe-area-inset-bottom);,swipe-horizontal between steps; tap progress dots
6,Comparison Table + CTA,"comparison, table, compare, versus, cta, sticky header, scroll shadow, horizontal scroll mobile, tooltips, feature highlight","1. Hero, 2. Problem intro, 3. Comparison table (product vs competitors), 4. Pricing (optional), 5. CTA",Table: Right column. CTA: Below table,Table: Alternating rows (white/light grey). Your product: Highlight #FFFACD (light yellow) or green. Text: Dark,"Table row hover highlight, price toggle animations, feature checkmark animations, sticky header scroll shadow, tooltip reveal",Use comparison to show unique value. Highlight your product row. Include 'free trial' in pricing row. Add tooltips for complex features.,".comparison-table { width: 100%; border-collapse: collapse; overflow-x: auto; -webkit-overflow-scrolling: touch; } .comparison-table th, .comparison-table td { padding: 1rem; text-align: center; } .comparison-table tr:nth-child(even) { background: #f9fafb; } .highlight-column { background: #fffacd; } /* Sticky Header with Scroll Shadow */ .comparison-table thead th { position: sticky; top: 0; background: white; z-index: 10; } .comparison-table.scrolled thead { box-shadow: 0 2px 8px rgba(0,0,0,0.1); } /* Feature Tooltip */ .feature-info { display: inline-flex; align-items: center; gap: 0.25rem; cursor: help; position: relative; } .feature-tooltip { position: absolute; bottom: 100%; left: 50%; transform: translateX(-50%); background: #1f2937; color: white; padding: 0.5rem 0.75rem; border-radius: 6px; font-size: 0.75rem; white-space: nowrap; opacity: 0; visibility: hidden; transition: all 0.2s; } .feature-info:hover .feature-tooltip { opacity: 1; visibility: visible; } /* Mobile Horizontal Scroll Indicator */ @media (max-width: 768px) { .comparison-wrapper { position: relative; } .comparison-wrapper::after { content: '→'; position: absolute; right: 0; top: 50%; background: linear-gradient(90deg, transparent, white); padding: 1rem; } }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack with horizontal scroll. Order preserved.,both,Horizontal scroll table with sticky first column; touch-friendly cells,padding-bottom: env(safe-area-inset-bottom);,swipe-horizontal on table; long-press for details
7,Lead Magnet + Form,"lead, form, signup, capture, email, magnet","1. Hero (benefit headline), 2. Lead magnet preview (ebook cover, checklist, etc), 3. Form (minimal fields), 4. CTA submit",Form CTA: Submit button,Lead magnet: Professional design. Form: Clean white bg. Inputs: Light border #CCCCCC. CTA: Brand color,"Form focus state animations, input validation animations, success confirmation animation",Form fields ≤ 3 for best conversion. Offer valuable lead magnet preview. Show form submission progress.,".lead-grid { display: grid; grid-template-columns: 1fr 1fr; gap: 4rem; align-items: center; } .form-container { background: #fff; padding: 2rem; border-radius: 1rem; box-shadow: 0 4px 20px rgba(0,0,0,0.1); } .form-input { width: 100%; padding: 1rem; margin-bottom: 1rem; }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,both,Stacked layout; form inputs sized for touch (44px min); floating labels,padding: env(safe-area-inset-top) 16px env(safe-area-inset-bottom);,tap to focus inputs; swipe to dismiss keyboard
8,Pricing Page + CTA,"pricing, plans, tiers, comparison, cta, toggle animation, Framer Motion, monthly yearly switch, currency badge, micro-interaction","1. Hero (pricing headline), 2. Price comparison cards, 3. Feature comparison table, 4. FAQ section, 5. Final CTA",Each card: CTA button. Sticky CTA in nav,"Free: Grey, Starter: Blue, Pro: Green/Gold, Enterprise: Dark. Cards: 1px border, shadow","Price toggle animation (monthly/yearly), card comparison highlight, FAQ accordion open/close, badge pop animation, price counter scale",Recommend starter plan (pre-select/highlight). Show annual discount (20-30%). Use FAQs to address concerns.,".pricing-grid { display: grid; grid-template-columns: repeat(3, 1fr); gap: 2rem; } @media (max-width: 768px) { .pricing-grid { grid-template-columns: 1fr; } } .pricing-card { padding: 2rem; border: 1px solid #e5e7eb; border-radius: 1rem; } .pricing-card.popular { border-color: var(--brand); transform: scale(1.05); } /* Pricing Toggle Animation */ .pricing-toggle { display: flex; align-items: center; gap: 0.5rem; background: rgba(0,0,0,0.05); padding: 4px; border-radius: 9999px; } .toggle-btn { padding: 0.5rem 1rem; border-radius: 9999px; border: none; cursor: pointer; transition: all 0.3s cubic-bezier(0.4,0,0.2,1); background: transparent; } .toggle-btn.active { background: white; box-shadow: 0 2px 8px rgba(0,0,0,0.1); } .save-badge { background: #10b981; color: white; font-size: 0.75rem; padding: 2px 8px; border-radius: 9999px; animation: badge-pop 0.3s ease-out; } @keyframes badge-pop { from { transform: scale(0.8); opacity: 0; } to { transform: scale(1); opacity: 1; } } /* Price counter animation */ .price-value { transition: transform 0.3s ease; display: inline-block; } .price-value.changing { transform: scale(1.05); }","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,both,Swipeable pricing cards; sticky CTA bar at bottom; annual toggle accessible,padding-bottom: calc(env(safe-area-inset-bottom) + 60px);,swipe-horizontal between plans; tap toggle
9,Video-First Hero,"video, hero, media, visual, engaging, lazy video, IntersectionObserver, prefers-reduced-motion, poster fallback, autoplay muted","1. Hero with video background, 2. Key features overlay, 3. Benefits section, 4. CTA",Overlay on video (center/bottom) + Bottom section,Dark overlay 60% on video. Brand accent for CTA. White text on dark.,"Video autoplay muted, parallax scroll, text fade-in on scroll, lazy load reveal, reduced motion fallback",86% higher engagement with video. Add captions for accessibility. Compress video for performance. Use poster image for fast LCP. Lazy load video with IntersectionObserver.,".video-hero { position: relative; min-height: 100vh; overflow: hidden; background-size: cover; background-position: center; } .video-hero video { position: absolute; top: 50%; left: 50%; min-width: 100%; min-height: 100%; transform: translate(-50%, -50%); object-fit: cover; opacity: 0; transition: opacity 0.5s; } .video-hero video.loaded { opacity: 1; } .video-overlay { position: absolute; inset: 0; background: rgba(0,0,0,0.6); display: flex; align-items: center; justify-content: center; } .poster-fallback { display: none; position: absolute; inset: 0; background-size: cover; background-position: center; } /* Reduced Motion Fallback */ @media (prefers-reduced-motion: reduce) { .video-hero video { display: none; } .video-hero .poster-fallback { display: block; } } /* JS: Lazy load video with IntersectionObserver const video = document.querySelector('.hero-video'); const observer = new IntersectionObserver((entries) => { entries.forEach(entry => { if (entry.isIntersecting) { video.src = video.dataset.src; video.load(); video.addEventListener('canplay', () => video.classList.add('loaded')); observer.disconnect(); } }); }, { rootMargin: '100px' }); observer.observe(video); */","{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""text"",""colSpan"":6,""rowSpan"":1,""align"":""center-left""},{""id"":""visual"",""colSpan"":6,""rowSpan"":1,""align"":""center-right""}]",Desktop: 12-col Grid. Mobile: Single column stack with poster fallback. Order preserved.,both,Poster image fallback on mobile; reduced-motion support; lazy load,padding-top: env(safe-area-inset-top);,tap-to-play video; pinch-to-zoom
10,Scroll-Triggered Storytelling,"storytelling, scroll, narrative, story, immersive","1. Intro hook, 2. Chapter 1 (problem), 3. Chapter 2 (journey), 4. Chapter 3 (solution), 5. Climax CTA",End of each chapter (mini) + Final climax CTA,Progressive reveal. Each chapter has distinct color. Building intensity.,"ScrollTrigger animations, parallax layers, progressive disclosure, chapter transitions",Narrative increases time-on-page 3x. Use progress indicator. Mobile: simplify animations.,.chapter { min-height: 100vh; display: flex; align-items: center; position: relative; } .parallax-layer { position: absolute; inset: 0; } .story-progress { position: fixed; right: 2rem; top: 50%; transform: translateY(-50%); },"{""cols"":12,""gap"":""2rem"",""container"":""1280px""}","[{""id"":""section"",""colSpan"":12,""rowSpan"":1}]",Desktop: 12-col Grid. Mobile: Single column stack. Order preserved.,both,Simplified animations on mobile; vertical scroll chapters; progress dots,padding: env(safe-area-inset-top) 0 env(safe-area-inset-bottom);,vertical-scroll chapters; tap progress indicator
