No,Data Type,Keywords,Best Chart Type,Secondary Options,Color Guidance,Performance Impact,Accessibility Notes,Library Recommendation,Interactive Level,ChartJS_Config,Recharts_Config,Data_Schema,Mock_Data_Example
1,Trend Over Time,"trend, time-series, line, growth, timeline, progress",Line Chart,"Area Chart, Smooth Area",Primary: #0080FF. Multiple series: use distinct colors. Fill: 20% opacity,⚡ Excellent (optimized),✓ Clear line patterns for colorblind users. Add pattern overlays.,"Chart.js, Recharts, ApexCharts",Hover + Zoom,"{ type: 'line', options: { responsive: true, plugins: { legend: { position: 'top' } }, scales: { x: { type: 'time' }, y: { beginAtZero: true } } } }",<LineChart><XAxis dataKey='time' /><YAxis /><Tooltip /><Legend /><Line type='monotone' dataKey='value' stroke='#0080FF' strokeWidth={2} /></LineChart>,interface DataPoint { time: string; value: number; category?: string; }[],"[{ ""time"": ""2026-01"", ""value"": 400 }, { ""time"": ""2026-02"", ""value"": 600 }]"
2,Compare Categories,"compare, categories, bar, comparison, ranking",Bar Chart (Horizontal or Vertical),"Column Chart, Grouped Bar",Each bar: distinct color. Category: grouped same color. Sorted: descending order,⚡ Excellent,✓ Easy to compare. Add value labels on bars for clarity.,"Chart.js, Recharts, D3.js",Hover + Sort,"{ type: 'bar', options: { responsive: true, indexAxis: 'x', plugins: { legend: { display: true } }, scales: { y: { beginAtZero: true } } } }",<BarChart><XAxis dataKey='category' /><YAxis /><Tooltip /><Legend /><Bar dataKey='value' fill='#8884d8' /></BarChart>,interface DataPoint { category: string; value: number; color?: string; }[],"[{ ""category"": ""A"", ""value"": 100 }, { ""category"": ""B"", ""value"": 200 }]"
3,Part-to-Whole,"part-to-whole, pie, donut, percentage, proportion, share",Pie Chart or Donut,"Stacked Bar, Treemap",Colors: 5-6 max. Contrasting palette. Large slices first. Use labels.,⚡ Good (limit 6 slices),⚠ Hard for accessibility. Better: Stacked bar with legend. Avoid pie if >5 items.,"Chart.js, Recharts, D3.js",Hover + Drill,"{ type: 'doughnut', options: { cutout: '60%', plugins: { legend: { position: 'right' }, tooltip: { enabled: true } } } }",<PieChart><Pie data={data} dataKey='value' nameKey='name' cx='50%' cy='50%' innerRadius={60} outerRadius={80} fill='#8884d8' label /></PieChart>,interface Slice { name: string; value: number; color?: string; }[],"[{ ""name"": ""Mobile"", ""value"": 60 }, { ""name"": ""Desktop"", ""value"": 40 }]"
4,Correlation/Distribution,"correlation, distribution, scatter, relationship, pattern",Scatter Plot or Bubble Chart,"Heat Map, Matrix",Color axis: gradient (blue-red). Size: relative. Opacity: 0.6-0.8 to show density,⚠ Moderate (many points),⚠ Provide data table alternative. Use pattern + color distinction.,"D3.js, Plotly, Recharts",Hover + Brush,"{ type: 'scatter', options: { responsive: true, plugins: { legend: { display: true } }, scales: { x: { type: 'linear' }, y: { type: 'linear' } } } }",<ScatterChart><XAxis dataKey='x' type='number' /><YAxis dataKey='y' type='number' /><Tooltip /><Scatter data={data} fill='#8884d8' /></ScatterChart>,interface Point { x: number; y: number; z?: number; label?: string; }[],"[{ ""x"": 10, ""y"": 20 }, { ""x"": 15, ""y"": 35 }]"
5,Heatmap/Intensity,"heatmap, heat-map, intensity, density, matrix",Heat Map or Choropleth,"Grid Heat Map, Bubble Heat",Gradient: Cool (blue) to Hot (red). Scale: clear legend. Divergent for ±data,⚡ Excellent (color CSS),⚠ Colorblind: Use pattern overlay. Provide numerical legend.,"D3.js, Plotly, ApexCharts",Hover + Zoom,"{ type: 'matrix', options: { responsive: true, plugins: { legend: { display: true } }, scales: { x: { type: 'category' }, y: { type: 'category' } } } }",<ResponsiveContainer><ComposedChart><XAxis dataKey='x' /><YAxis dataKey='y' /><Tooltip /></ComposedChart></ResponsiveContainer>,interface Cell { x: string; y: string; value: number; }[],"[{ ""x"": ""Mon"", ""y"": ""Morning"", ""value"": 5 }, { ""x"": ""Mon"", ""y"": ""Evening"", ""value"": 8 }]"
6,Geographic Data,"geographic, map, location, region, geo, spatial","Choropleth Map, Bubble Map",Geographic Heat Map,Regional: single color gradient or categorized colors. Legend: clear scale,⚠ Moderate (rendering),⚠ Include text labels for regions. Provide data table alternative.,"D3.js, Mapbox, Leaflet",Pan + Zoom + Drill,"{ type: 'choropleth', options: { responsive: true, showOutline: true, plugins: { legend: { position: 'bottom' } } } }",Use react-simple-maps: <ComposableMap><Geographies geography={geoUrl}>{geographies.map(geo => <Geography key={geo.rsmKey} geography={geo} />)}</Geographies></ComposableMap>,interface Region { id: string; value: number; name: string; }[],"[{ ""id"": ""US"", ""value"": 100, ""name"": ""United States"" }, { ""id"": ""DE"", ""value"": 50, ""name"": ""Germany"" }]"
7,Funnel/Flow,"funnel, flow, conversion, stages, pipeline","Funnel Chart, Sankey",Waterfall (for flows),Stages: gradient (starting color → ending color). Show conversion %,⚡ Good,✓ Clear stage labels + percentages. Good for accessibility if labeled.,"D3.js, Recharts, Custom SVG",Hover + Drill,"{ type: 'bar', options: { indexAxis: 'y', responsive: true, plugins: { legend: { display: false } }, scales: { x: { stacked: true } } } }",<FunnelChart><Funnel dataKey='value' data={data} isAnimationActive><LabelList position='right' fill='#000' dataKey='name' /></Funnel></FunnelChart>,interface Stage { stage: string; value: number; conversionRate?: number; }[],"[{ ""stage"": ""Visits"", ""value"": 1000 }, { ""stage"": ""Signups"", ""value"": 200 }]"
8,Performance vs Target,"performance, target, gauge, bullet, threshold",Gauge Chart or Bullet Chart,"Dial, Thermometer",Performance: Red→Yellow→Green gradient. Target: marker line. Threshold colors,⚡ Good,✓ Add numerical value + percentage label beside gauge.,"D3.js, ApexCharts, Custom SVG",Hover,"{ type: 'doughnut', options: { circumference: 180, rotation: -90, cutout: '75%', plugins: { tooltip: { enabled: false } } } }",<RadialBarChart innerRadius='80%' outerRadius='100%' data={data} startAngle={180} endAngle={0}><RadialBar dataKey='value' fill='#22C55E' /><Legend /></RadialBarChart>,interface GaugeData { value: number; min: number; max: number; target?: number; },"{ ""value"": 75, ""min"": 0, ""max"": 100, ""target"": 80 }"
9,Time-Series Forecast,"time-series, forecast, prediction, confidence, projection",Line with Confidence Band,Ribbon Chart,Actual: solid line #0080FF. Forecast: dashed #FF9500. Band: light shading,⚡ Good,✓ Clearly distinguish actual vs forecast. Add legend.,"Chart.js, ApexCharts, Plotly",Hover + Toggle,"{ type: 'line', options: { responsive: true, plugins: { legend: { position: 'top' } }, scales: { x: { type: 'time' } } } }",<ComposedChart><XAxis dataKey='time' /><YAxis /><Area dataKey='confidence' fill='#8884d8' fillOpacity={0.3} /><Line type='monotone' dataKey='actual' stroke='#0080FF' /><Line type='monotone' dataKey='forecast' stroke='#FF9500' strokeDasharray='5 5' /></ComposedChart>,interface ForecastPoint { time: string; actual: number; forecast: number; confidenceLow: number; confidenceHigh: number; }[],"[{ ""time"": ""2026-Q1"", ""actual"": 100, ""forecast"": 100 }, { ""time"": ""2026-Q2"", ""actual"": null, ""forecast"": 120, ""confidenceLow"": 110, ""confidenceHigh"": 130 }]"
10,Anomaly Detection,"anomaly, detection, outlier, alert, exception",Line Chart with Highlights,Scatter with Alert,Normal: blue #0080FF. Anomaly: red #FF0000 circle/square marker + alert,⚡ Good,✓ Circle/marker for anomalies. Add text alert annotation.,"D3.js, Plotly, ApexCharts",Hover + Alert,"{ type: 'line', options: { responsive: true, plugins: { annotation: { annotations: { anomaly: { type: 'point', backgroundColor: '#FF0000' } } } } } }",<ComposedChart><XAxis dataKey='time' /><YAxis /><Line type='monotone' dataKey='value' stroke='#0080FF' /><Scatter data={anomalies} fill='#FF0000' /></ComposedChart>,interface DataPoint { time: string; value: number; isAnomaly: boolean; }[],"[{ ""time"": ""10:00"", ""value"": 50, ""isAnomaly"": false }, { ""time"": ""10:05"", ""value"": 150, ""isAnomaly"": true }]"
11,Hierarchical/Nested Data,"hierarchical, nested, tree, parent-child, structure",Treemap,"Sunburst, Nested Donut, Icicle",Parent: distinct hues. Children: lighter shades. White borders 2-3px.,⚠ Moderate,⚠ Poor - provide table alternative. Label large areas.,"D3.js, Recharts, ApexCharts",Hover + Drilldown,"{ type: 'treemap', options: { responsive: true, plugins: { legend: { display: false } }, tree: { spacing: 2 } } }",<Treemap data={data} dataKey='size' aspectRatio={4/3} stroke='#fff' fill='#8884d8'><Tooltip /></Treemap>,interface TreeNode { name: string; size: number; children?: TreeNode[]; },"{ ""name"": ""Root"", ""children"": [{ ""name"": ""A"", ""size"": 100 }, { ""name"": ""B"", ""size"": 50 }] }"
12,Flow/Process Data,"flow, process, sankey, alluvial, transition",Sankey Diagram,"Alluvial, Chord Diagram",Gradient from source to target. Opacity 0.4-0.6 for flows.,⚠ Moderate,⚠ Poor - provide flow table alternative.,"D3.js (d3-sankey), Plotly",Hover + Drilldown,"{ type: 'sankey', options: { responsive: true, plugins: { tooltip: { enabled: true } } } }",<Sankey data={data} nodeWidth={10} nodePadding={20}><Tooltip /></Sankey>,interface Flow { source: string; target: string; value: number; }[],"[{ ""source"": ""Page A"", ""target"": ""Page B"", ""value"": 50 }, { ""source"": ""Page B"", ""target"": ""Checkout"", ""value"": 20 }]"
13,Cumulative Changes,"cumulative, changes, waterfall, bridge, cascade",Waterfall Chart,"Stacked Bar, Cascade",Increases: #4CAF50. Decreases: #F44336. Start: #2196F3. End: #0D47A1.,⚡ Good,✓ Good - clear directional colors with labels.,"ApexCharts, Highcharts, Plotly",Hover,"{ type: 'bar', options: { responsive: true, plugins: { legend: { display: false } } } }","<BarChart><XAxis dataKey='name' /><YAxis /><Bar dataKey='value'>{data.map((e, i) => <Cell key={i} fill={e.value > 0 ? '#4CAF50' : '#F44336'} />)}</Bar></BarChart>",interface WaterfallItem { category: string; value: number; type?: 'increase' | 'decrease' | 'total'; }[],"[{ ""category"": ""Start"", ""value"": 100 }, { ""category"": ""Sales"", ""value"": 50 }, { ""category"": ""Cost"", ""value"": -30 }]"
