No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Tailwind_Config,Glow_Effects,Dark_Mode_Colors,Semantic_Mapping,Data_Viz_Palette,Semantic_Tokens
1,SaaS (General),"saas, general",#2563EB,#3B82F6,#F97316,#F8FAFC,#1E293B,#E2E8F0,Trust blue + accent contrast,"{ primary: '#2563EB', secondary: '#3B82F6', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#2563EB', secondary: '#3B82F6', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#2563EB"",""primary-foreground"":""#FFFFFF"",""secondary"":""#3B82F6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#82a6f4"",""#5484ef"",""#2563EB"",""#134cca"",""#0e3b9c"",""#3b82f6"",""#0b63f3""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#2563EB"",""primary-foreground"":""#FFFFFF"",""secondary"":""#3B82F6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#2563EB""}"
2,Micro SaaS,"micro, saas",#2563EB,#3B82F6,#F97316,#F8FAFC,#1E293B,#E2E8F0,Vibrant primary + white space,"{ primary: '#2563EB', secondary: '#3B82F6', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#2563EB', secondary: '#3B82F6', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#2563EB"",""primary-foreground"":""#FFFFFF"",""secondary"":""#3B82F6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#82a6f4"",""#5484ef"",""#2563EB"",""#134cca"",""#0e3b9c"",""#3b82f6"",""#0b63f3""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#2563EB"",""primary-foreground"":""#FFFFFF"",""secondary"":""#3B82F6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#2563EB""}"
3,E-commerce,"ecommerce, commerce, shop, store",#232F3E,#10B981,#FEBD69,#FFFFFF,#1E293B,#E5E7EB,Amazon-style trust navy + success green + orange CTA (2026 conversion optimized),"{ primary: '#232F3E', secondary: '#10B981', cta: '#FEBD69', background: '#FFFFFF', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(254,189,105,0.5); text-shadow: 0 0 10px rgba(254,189,105,0.6);","{ background: '#131A22', text: '#F8FAFC', primary: '#232F3E', secondary: '#10B981', cta: '#FEBD69', border: '#3B4854' }","{""background"":""#FFFFFF"",""foreground"":""#1E293B"",""primary"":""#232F3E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#10B981"",""secondary-foreground"":""#FFFFFF"",""muted"":""#6B7280"",""accent"":""#FEBD69"",""destructive"":""#EF4444""}","[""#4B5966"",""#3A4A58"",""#232F3E"",""#131A22"",""#0A0F14"",""#10b981"",""#059669""]","{""background"":""#FFFFFF"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#232F3E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#10B981"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F3F4F6"",""muted-foreground"":""#6B7280"",""accent"":""#FEBD69"",""accent-foreground"":""#1E293B"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E7EB"",""input"":""#E5E7EB"",""ring"":""#232F3E""}"
4,E-commerce Luxury,"commerce, luxury",#1C1917,#44403C,#CA8A04,#FAFAF9,#0C0A09,#D6D3D1,Premium colors + minimal accent,"{ primary: '#1C1917', secondary: '#44403C', cta: '#CA8A04', background: '#FAFAF9', foreground: '#0C0A09' }","box-shadow: 0 0 20px rgba(202,138,4,0.4); text-shadow: 0 0 10px rgba(202,138,4,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#272320', secondary: '#58534E', cta: '#CA8A04', border: '#27272A' }","{""background"":""#FAFAF9"",""foreground"":""#0C0A09"",""primary"":""#1C1917"",""primary-foreground"":""#FFFFFF"",""secondary"":""#44403C"",""secondary-foreground"":""#FFFFFF"",""muted"":""#63534b"",""accent"":""#CA8A04"",""destructive"":""#EF4444""}","[""#544b45"",""#38322e"",""#1C1917"",""#000000"",""#000000"",""#44403c"",""#292624""]","{""background"":""#FAFAF9"",""foreground"":""#0C0A09"",""card"":""#FFFFFF"",""card-foreground"":""#0C0A09"",""popover"":""#FFFFFF"",""popover-foreground"":""#0C0A09"",""primary"":""#1C1917"",""primary-foreground"":""#FFFFFF"",""secondary"":""#44403C"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#CA8A04"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#D6D3D1"",""input"":""#D6D3D1"",""ring"":""#1C1917""}"
5,Service Landing Page,"service, landing, page, professional, b2b, consulting, agency",#1A1A40,#5DA9A4,#FF6B6B,#FFFFFF,#1E293B,#F1F3F4,2026 B2B Service: Deep navy #1A1A40 (corporate trust) + Muted teal #5DA9A4 (clarity/calm) + Warm coral CTA #FF6B6B (high-converting action) + Clean white BG + Professional aesthetic for consulting/agency landing pages,"{ primary: '#1A1A40', secondary: '#5DA9A4', cta: '#FF6B6B', background: '#FFFFFF', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(255,107,107,0.4); text-shadow: 0 0 10px rgba(93,169,164,0.5);","{ background: '#0F0F1A', text: '#F8FAFC', primary: '#2A2A5C', secondary: '#6DBFBA', cta: '#FF7A7A', border: '#1E1E3A' }","{""background"":""#FFFFFF"",""foreground"":""#1E293B"",""primary"":""#1A1A40"",""primary-foreground"":""#FFFFFF"",""secondary"":""#5DA9A4"",""secondary-foreground"":""#FFFFFF"",""muted"":""#647BA2"",""accent"":""#FF6B6B"",""destructive"":""#EF4444""}","[""#2A2A5C"",""#1A1A40"",""#0F0F28"",""#5DA9A4"",""#4A9690"",""#FF6B6B"",""#E85A5A""]","{""background"":""#FFFFFF"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#1A1A40"",""primary-foreground"":""#FFFFFF"",""secondary"":""#5DA9A4"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F1F3F4"",""muted-foreground"":""#647BA2"",""accent"":""#FF6B6B"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#F1F3F4"",""input"":""#F1F3F4"",""ring"":""#1A1A40""}"
6,B2B Service,"b2b, service",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Professional blue + neutral grey,"{ primary: '#0F172A', secondary: '#334155', cta: '#0369A1', background: '#F8FAFC', foreground: '#020617' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#15203A', secondary: '#42546E', cta: '#037EC1', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#0e2ba4"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#2a4075"",""#1c2c50"",""#0F172A"",""#020204"",""#000000"",""#334155"",""#202935""]","{""background"":""#F8FAFC"",""foreground"":""#020617"",""card"":""#FFFFFF"",""card-foreground"":""#020617"",""popover"":""#FFFFFF"",""popover-foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0F172A""}"
7,Financial Dashboard,"financial, dashboard, trading, stock, fintech",#288CFA,#06D6A0,#FF0000,#1E1E2F,#EBEBEB,#242C34,Bloomberg-style dark mode + gain green #06D6A0 + loss red + trust blue accent (2026 trading UI),"{ primary: '#288CFA', secondary: '#06D6A0', cta: '#FF0000', background: '#1E1E2F', foreground: '#EBEBEB' }","box-shadow: 0 0 20px rgba(40,140,250,0.4); text-shadow: 0 0 10px rgba(6,214,160,0.6);","{ background: '#1E1E2F', text: '#EBEBEB', primary: '#288CFA', secondary: '#06D6A0', cta: '#FF0000', border: '#242C34' }","{""background"":""#1E1E2F"",""foreground"":""#EBEBEB"",""primary"":""#288CFA"",""primary-foreground"":""#FFFFFF"",""secondary"":""#06D6A0"",""secondary-foreground"":""#000000"",""muted"":""#242C34"",""accent"":""#288CFA"",""destructive"":""#FF0000""}","[""#5EAAFC"",""#288CFA"",""#1070E0"",""#06D6A0"",""#05B386"",""#FF0000"",""#CC0000""]","{""background"":""#1E1E2F"",""foreground"":""#EBEBEB"",""card"":""#242C34"",""card-foreground"":""#EBEBEB"",""popover"":""#242C34"",""popover-foreground"":""#EBEBEB"",""primary"":""#288CFA"",""primary-foreground"":""#FFFFFF"",""secondary"":""#06D6A0"",""secondary-foreground"":""#000000"",""muted"":""#2A3442"",""muted-foreground"":""#A1A1AA"",""accent"":""#288CFA"",""accent-foreground"":""#FFFFFF"",""destructive"":""#FF0000"",""destructive-foreground"":""#FFFFFF"",""border"":""#242C34"",""input"":""#2A3442"",""ring"":""#288CFA""}"
8,Analytics Dashboard,"analytics, dashboard, metrics, heatmap, mixpanel, google analytics",#440154,#21918C,#FDE725,#F5F5F5,#1A1A2E,#E5E5E5,Viridis-inspired cool→hot gradient (purple→teal→yellow) + neutral grey chrome for colorblind-safe data viz (2026 analytics),"{ primary: '#440154', secondary: '#21918C', cta: '#FDE725', background: '#F5F5F5', foreground: '#1A1A2E' }","box-shadow: 0 0 20px rgba(253,231,37,0.5); text-shadow: 0 0 10px rgba(33,145,140,0.6);","{ background: '#1A1A2E', text: '#F5F5F5', primary: '#440154', secondary: '#21918C', cta: '#FDE725', border: '#2D2D44' }","{""background"":""#F5F5F5"",""foreground"":""#1A1A2E"",""primary"":""#440154"",""primary-foreground"":""#FFFFFF"",""secondary"":""#21918C"",""secondary-foreground"":""#FFFFFF"",""muted"":""#6B7280"",""accent"":""#FDE725"",""destructive"":""#EF4444""}","[""#440154"",""#482878"",""#3E4A89"",""#31688E"",""#21918C"",""#35B779"",""#90D743"",""#FDE725""]","{""background"":""#F5F5F5"",""foreground"":""#1A1A2E"",""card"":""#FFFFFF"",""card-foreground"":""#1A1A2E"",""popover"":""#FFFFFF"",""popover-foreground"":""#1A1A2E"",""primary"":""#440154"",""primary-foreground"":""#FFFFFF"",""secondary"":""#21918C"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#6B7280"",""accent"":""#FDE725"",""accent-foreground"":""#1A1A2E"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E5E5"",""input"":""#E5E5E5"",""ring"":""#21918C""}"
9,Healthcare App,"healthcare, app",#0891B2,#22D3EE,#059669,#ECFEFF,#164E63,#A5F3FC,Calm blue + health green + trust,"{ primary: '#0891B2', secondary: '#22D3EE', cta: '#059669', background: '#ECFEFF', foreground: '#164E63' }","box-shadow: 0 0 20px rgba(5,150,105,0.4); text-shadow: 0 0 10px rgba(5,150,105,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0891B2', secondary: '#22D3EE', cta: '#059669', border: '#27272A' }","{""background"":""#ECFEFF"",""foreground"":""#164E63"",""primary"":""#0891B2"",""primary-foreground"":""#FFFFFF"",""secondary"":""#22D3EE"",""secondary-foreground"":""#000000"",""muted"":""#3eabd4"",""accent"":""#059669"",""destructive"":""#EF4444""}","[""#2bcef5"",""#0ab9e3"",""#0891B2"",""#066981"",""#044150"",""#22d3ee"",""#10b4cd""]","{""background"":""#ECFEFF"",""foreground"":""#164E63"",""card"":""#FFFFFF"",""card-foreground"":""#164E63"",""popover"":""#FFFFFF"",""popover-foreground"":""#164E63"",""primary"":""#0891B2"",""primary-foreground"":""#FFFFFF"",""secondary"":""#22D3EE"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#059669"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#A5F3FC"",""input"":""#A5F3FC"",""ring"":""#0891B2""}"
10,Educational App,"educational, app",#4F46E5,#818CF8,#F97316,#EEF2FF,#1E1B4B,#C7D2FE,Playful colors + clear hierarchy,"{ primary: '#4F46E5', secondary: '#818CF8', cta: '#F97316', background: '#EEF2FF', foreground: '#1E1B4B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#4F46E5', secondary: '#818CF8', cta: '#F97316', border: '#27272A' }","{""background"":""#EEF2FF"",""foreground"":""#1E1B4B"",""primary"":""#4F46E5"",""primary-foreground"":""#FFFFFF"",""secondary"":""#818CF8"",""secondary-foreground"":""#000000"",""muted"":""#4b44bb"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#a49ff2"",""#7a73eb"",""#4F46E5"",""#291fd9"",""#2118ad"",""#818cf8"",""#5160f5""]","{""background"":""#EEF2FF"",""foreground"":""#1E1B4B"",""card"":""#FFFFFF"",""card-foreground"":""#1E1B4B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E1B4B"",""primary"":""#4F46E5"",""primary-foreground"":""#FFFFFF"",""secondary"":""#818CF8"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#C7D2FE"",""input"":""#C7D2FE"",""ring"":""#4F46E5""}"
