"STT","Style Category","Type","Keywords","Primary Colors","Secondary Colors","Effects & Animation","Best For","Do Not Use For","Light Mode ✓","Dark Mode ✓","Performance","Accessibility","Mobile-Friendly","Conversion-Focused","Framework Compatibility","Era/Origin","Complexity","CSS_Code","Motion_Config","Animation_Variants"
"1","Minimalism & Swiss Style","General","Clean, simple, spacious, functional, white space, high contrast, geometric, sans-serif, grid-based, essential","Monochromatic, Black #000000, White #FFFFFF","Neutral (Beige #F5F1E8, Grey #808080, Taupe #B38B6D), Primary accent","Subtle hover (200-250ms), smooth transitions, sharp shadows if any, clear type hierarchy, fast loading","Enterprise apps, dashboards, documentation sites, SaaS platforms, professional tools","Creative portfolios, entertainment, playful brands, artistic experiments","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ High","◐ Medium","Tailwind 10/10, Bootstrap 9/10, MUI 9/10","1950s Swiss","Low",".minimal { background: #FFFFFF; color: #000000; font-family: 'Helvetica Neue', sans-serif; transition: all 200ms ease; } .minimal:hover { box-shadow: 0 2px 8px rgba(0,0,0,0.1); }","{""type"":""tween"",""ease"":""easeInOut"",""duration"":0.3}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"2","Neumorphism","General","Soft UI, embossed, debossed, convex, concave, light source, subtle depth, rounded (12-16px), monochromatic","Light pastels: Soft Blue #C8E0F4, Soft Pink #F5E0E8, Soft Grey #E8E8E8","Tints/shades (±30%), gradient subtlety, color harmony","Soft box-shadow (multiple: -5px -5px 15px, 5px 5px 15px), smooth press (150ms), inner subtle shadow","Health/wellness apps, meditation platforms, fitness trackers, minimal interaction UIs","Complex apps, critical accessibility, data-heavy dashboards, high-contrast required","✓ Full","◐ Partial","⚡ Good","⚠ Low contrast","✓ Good","◐ Medium","Tailwind 8/10, CSS-in-JS 9/10","2020s Modern","Medium",".neumorphic { background: #E8E8E8; border-radius: 16px; box-shadow: -5px -5px 15px rgba(255,255,255,0.8), 5px 5px 15px rgba(0,0,0,0.1); transition: all 150ms ease; } .neumorphic:active { box-shadow: inset -2px -2px 5px rgba(255,255,255,0.7), inset 2px 2px 5px rgba(0,0,0,0.1); }","{""type"":""spring"",""stiffness"":50,""damping"":20,""mass"":1.2}","{""hidden"":{""opacity"":0,""y"":20,""scale"":0.98},""visible"":{""opacity"":1,""y"":0,""scale"":1},""hover"":{""y"":-5,""boxShadow"":""0 10px 30px rgba(0,0,0,0.1)""}}"
"3","Glassmorphism","General","Frosted glass, transparent, blurred background, layered, vibrant background, light source, depth, multi-layer, navbar states","Translucent white: rgba(255,255,255,0.1-0.3)","Vibrant: Electric Blue #0080FF, Neon Purple #8B00FF, Vivid Pink #FF1493, Teal #20B2AA","Backdrop blur (10-20px), subtle border (1px solid rgba white 0.2), light reflection, Z-depth, navbar scroll states","Modern SaaS, financial dashboards, high-end corporate, lifestyle apps, modal overlays, navigation","Low-contrast backgrounds, critical accessibility, performance-limited, dark text on dark","✓ Full","✓ Full","⚠ Good","⚠ Ensure 4.5:1","✓ Good","✓ High","Tailwind 9/10, MUI 8/10, Chakra 8/10","2020s Modern","Medium",".glass { background: rgba(255,255,255,0.15); backdrop-filter: blur(12px); -webkit-backdrop-filter: blur(12px); border: 1px solid rgba(255,255,255,0.2); border-radius: 16px; box-shadow: 0 8px 32px rgba(0,0,0,0.1); } /* Navbar States */ .glass-navbar { background: transparent; transition: all 0.4s cubic-bezier(0.4, 0, 0.2, 1); } .glass-navbar.scrolled { background: rgba(255,255,255,0.1); backdrop-filter: blur(12px); -webkit-backdrop-filter: blur(12px); } .glass-navbar-mobile { background: rgba(15,23,42,0.95); backdrop-filter: blur(20px); -webkit-backdrop-filter: blur(20px); }","{""type"":""spring"",""stiffness"":50,""damping"":20,""mass"":1.2}","{""hidden"":{""opacity"":0,""y"":20,""scale"":0.98},""visible"":{""opacity"":1,""y"":0,""scale"":1},""hover"":{""y"":-5,""boxShadow"":""0 10px 30px rgba(0,0,0,0.1)""}}"
"4","Brutalism","General","Raw, unpolished, stark, high contrast, plain text, default fonts, visible borders, asymmetric, anti-design","Primary: Red #FF0000, Blue #0000FF, Yellow #FFFF00, Black #000000, White #FFFFFF","Limited: Neon Green #00FF00, Hot Pink #FF00FF, minimal secondary","No smooth transitions (instant), sharp corners (0px), bold typography (700+), visible grid, large blocks","Design portfolios, artistic projects, counter-culture brands, editorial/media sites, tech blogs","Corporate environments, conservative industries, critical accessibility, customer-facing professional","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","◐ Medium","✗ Low","Tailwind 10/10, Bootstrap 7/10","1950s Brutalist","Low",".brutalist { background: #FFFFFF; border: 3px solid #000000; font-family: 'Courier New', monospace; font-weight: 700; border-radius: 0; transition: none; } .brutalist:hover { background: #FFFF00; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""scale"":0.95,""x"":-10,""filter"":""brightness(2)""},""visible"":{""opacity"":1,""scale"":1,""x"":0,""filter"":""brightness(1)""},""hover"":{""x"":5,""filter"":""hue-rotate(90deg)""}}"
"5","3D & Hyperrealism","General","Depth, realistic textures, 3D models, spatial navigation, tactile, skeuomorphic elements, rich detail, immersive","Deep Navy #001F3F, Forest Green #228B22, Burgundy #800020, Gold #FFD700, Silver #C0C0C0","Complex gradients (5-10 stops), realistic lighting, shadow variations (20-40% darker)","WebGL/Three.js 3D, realistic shadows (layers), physics lighting, parallax (3-5 layers), smooth 3D (300-400ms)","Gaming, product showcase, immersive experiences, high-end e-commerce, architectural viz, VR/AR","Low-end mobile, performance-limited, critical accessibility, data tables/forms","◐ Partial","◐ Partial","❌ Poor","⚠ Not accessible","✗ Low","◐ Medium","Three.js 10/10, R3F 10/10, Babylon.js 10/10","2020s Modern","High",".hyperrealism { background: linear-gradient(135deg, #001F3F 0%, #228B22 50%, #800020 100%); box-shadow: 0 10px 40px rgba(0,0,0,0.3), 0 2px 10px rgba(0,0,0,0.2); transform: perspective(1000px) rotateX(2deg); transition: transform 350ms ease; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"6","Vibrant & Block-based","General","Bold, energetic, playful, block layout, geometric shapes, high color contrast, duotone, modern, energetic","Neon Green #39FF14, Electric Purple #BF00FF, Vivid Pink #FF1493, Bright Cyan #00FFFF, Sunburst #FFAA00","Complementary: Orange #FF7F00, Shocking Pink #FF006E, Lime #CCFF00, triadic schemes","Large sections (48px+ gaps), animated patterns, bold hover (color shift), scroll-snap, large type (32px+), 200-300ms","Startups, creative agencies, gaming, social media, youth-focused, entertainment, consumer","Financial institutions, healthcare, formal business, government, conservative, elderly","✓ Full","✓ Full","⚡ Good","◐ Ensure WCAG","✓ High","✓ High","Tailwind 10/10, Chakra 9/10, Styled 9/10","2020s Modern","Medium",".vibrant-block { background: #BF00FF; color: #FFFFFF; padding: 48px; font-size: 32px; font-weight: 700; transition: background 250ms ease; } .vibrant-block:hover { background: #39FF14; color: #000000; }","{""type"":""spring"",""stiffness"":200,""damping"":10,""mass"":0.8}","{""hidden"":{""opacity"":0,""scale"":0.5,""rotate"":-5},""visible"":{""opacity"":1,""scale"":1,""rotate"":0},""hover"":{""scale"":1.1,""rotate"":3}}"
"7","Dark Mode (OLED)","General","Dark theme, low light, high contrast, deep black, midnight blue, eye-friendly, OLED, night mode, power efficient","Deep Black #000000, Dark Grey #121212, Midnight Blue #0A0E27","Vibrant accents: Neon Green #39FF14, Electric Blue #0080FF, Gold #FFD700, Plasma Purple #BF00FF","Minimal glow (text-shadow: 0 0 10px), dark-to-light transitions, low white emission, high readability, visible focus","Night-mode apps, coding platforms, entertainment, eye-strain prevention, OLED devices, low-light","Print-first content, high-brightness outdoor, color-accuracy-critical","✗ No","✓ Only","⚡ Excellent","✓ WCAG AAA","✓ High","◐ Low","Tailwind 10/10, MUI 10/10, Chakra 10/10","2020s Modern","Low",".dark-oled { background: #000000; color: #FFFFFF; } .dark-oled a { color: #0080FF; text-shadow: 0 0 10px rgba(0,128,255,0.5); } .dark-oled:focus { outline: 2px solid #39FF14; outline-offset: 2px; }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"8","Accessible & Ethical","General","High contrast, large text (16px+), keyboard navigation, screen reader friendly, WCAG compliant, focus state, semantic","WCAG AA/AAA (4.5:1 min), simple primary, clear secondary, high luminosity (7:1+)","Symbol-based colors (not color-only), supporting patterns, inclusive combinations","Clear focus rings (3-4px), ARIA labels, skip links, responsive design, reduced motion, 44x44px touch targets","Government, healthcare, education, inclusive products, large audience, legal compliance, public","None - accessibility universal","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ High","✓ High","All frameworks 10/10","Universal","Low",".accessible { font-size: 16px; line-height: 1.5; } .accessible:focus { outline: 3px solid #005FCC; outline-offset: 2px; } .accessible button { min-width: 44px; min-height: 44px; } @media (prefers-reduced-motion: reduce) { .accessible { transition: none; animation: none; } }","{""type"":""spring"",""stiffness"":100,""damping"":15}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
"9","Claymorphism","General","Soft 3D, chunky, playful, toy-like, bubbly, thick borders (3-4px), double shadows, rounded (16-24px)","Pastel: Soft Peach #FDBCB4, Baby Blue #ADD8E6, Mint #98FF98, Lilac #E6E6FA, light BG","Soft gradients (pastel-to-pastel), light/dark variations (20-30%), gradient subtle","Inner+outer shadows (subtle, no hard lines), soft press (200ms ease-out), fluffy elements, smooth transitions","Educational apps, children's apps, SaaS platforms, creative tools, fun-focused, onboarding, casual games","Formal corporate, professional services, data-critical, serious/medical, legal apps, finance","✓ Full","◐ Partial","⚡ Good","⚠ Ensure 4.5:1","✓ High","✓ High","Tailwind 9/10, CSS-in-JS 9/10","2020s Modern","Medium",".claymorphism { background: linear-gradient(145deg, #FDBCB4, #E6E6FA); border: 3px solid rgba(0,0,0,0.1); border-radius: 20px; box-shadow: 0 8px 24px rgba(0,0,0,0.1), inset 0 -2px 6px rgba(0,0,0,0.05); transition: transform 200ms ease-out; } .claymorphism:active { transform: scale(0.98); }","{""type"":""spring"",""stiffness"":200,""damping"":10,""mass"":0.8}","{""hidden"":{""opacity"":0,""scale"":0.5,""rotate"":-5},""visible"":{""opacity"":1,""scale"":1,""rotate"":0},""hover"":{""scale"":1.1,""rotate"":3}}"
"10","Aurora UI","General","Vibrant gradients, smooth blend, Northern Lights effect, mesh gradient, luminous, atmospheric, abstract","Complementary: Blue-Orange, Purple-Yellow, Electric Blue #0080FF, Magenta #FF1493, Cyan #00FFFF","Smooth transitions (Blue→Purple→Pink→Teal), iridescent effects, blend modes (screen, multiply)","Large flowing CSS/SVG gradients, subtle 8-12s animations, depth via color layering, smooth morph","Modern SaaS, creative agencies, branding, music platforms, lifestyle, premium products, hero sections","Data-heavy dashboards, critical accessibility, content-heavy where distraction issues","✓ Full","✓ Full","⚠ Good","⚠ Text contrast","✓ Good","✓ High","Tailwind 9/10, CSS-in-JS 10/10","2020s Modern","Medium",".aurora { background: linear-gradient(135deg, #0080FF 0%, #FF1493 50%, #00FFFF 100%); background-size: 400% 400%; animation: aurora-shift 10s ease infinite; } @keyframes aurora-shift { 0%, 100% { background-position: 0% 50%; } 50% { background-position: 100% 50%; } }","{""type"":""spring"",""stiffness"":50,""damping"":20,""mass"":1.2}","{""hidden"":{""opacity"":0,""y"":10},""visible"":{""opacity"":1,""y"":0},""hover"":{""y"":-2}}"
